51, 214, 256, 283, 89, 37, 31, 28
65, 198, 215, 267, 106, 36, 35, 30
66, 161, 367, 233, 104, 33, 33, 30
66, 161, 404, 240, 105, 37, 35, 33
66, 165, 406, 269, 108, 35, 34, 33
155, 143, 74, 205, 118, 50, 232, 79
143, 152, 89, 224, 122, 50, 165, 70
136, 148, 85, 206, 105, 41, 125, 63
109, 150, 93, 206, 104, 39, 109, 60
91, 155, 95, 194, 100, 35, 97, 58
88, 160, 93, 193, 95, 35, 91, 56
83, 143, 81, 166, 90, 31, 80, 50
68, 158, 77, 165, 87, 30, 72, 46
55, 154, 69, 138, 70, 27, 53, 31
51, 158, 65, 135, 68, 27, 47, 28
46, 151, 122, 144, 67, 31, 46, 35
46, 171, 178, 161, 60, 33, 41, 46
40, 165, 215, 186, 53, 32, 31, 48
39, 159, 222, 168, 37, 31, 29, 48
42, 149, 260, 174, 38, 31, 29, 49
59, 131, 295, 199, 34, 28, 31, 52
69, 113, 375, 228, 38, 24, 32, 48
72, 124, 455, 251, 46, 27, 36, 47
83, 132, 497, 292, 52, 46, 45, 63
145, 143, 727, 350, 55, 64, 92, 119
164, 139, 757, 338, 57, 87, 93, 216
177, 134, 744, 312, 58, 106, 98, 272
180, 135, 727, 289, 53, 108, 98, 286
182, 146, 710, 250, 49, 103, 97, 291
138, 140, 585, 162, 44, 93, 58, 285
108, 149, 551, 155, 44, 76, 65, 236
79, 140, 504, 146, 38, 46, 56, 172
70, 116, 450, 116, 36, 40, 53, 149
51, 95, 435, 107, 34, 35, 48, 133
47, 88, 247, 99, 40, 41, 44, 104
42, 79, 228, 82, 37, 34, 30, 80
36, 87, 226, 81, 38, 34, 30, 75
33, 89, 269, 77, 39, 36, 29, 69
30, 88, 308, 76, 37, 35, 30, 68
33, 91, 323, 68, 28, 30, 30, 71
38, 101, 364, 81, 27, 36, 30, 62
57, 95, 386, 104, 27, 37, 30, 64
58, 94, 366, 121, 33, 42, 35, 74
66, 103, 334, 126, 38, 58, 39, 82
71, 121, 310, 140, 40, 56, 36, 80
70, 118, 226, 153, 42, 53, 35, 68
57, 119, 178, 141, 43, 53, 35, 63
56, 117, 155, 129, 41, 49, 31, 52
47, 105, 138, 124, 36, 29, 23, 36
36, 89, 117, 100, 33, 28, 24, 34
28, 78, 102, 66, 30, 26, 25, 28
26, 76, 182, 57, 27, 26, 22, 26
29, 73, 190, 66, 25, 26, 23, 26
28, 71, 194, 63, 25, 26, 25, 25
28, 53, 197, 61, 27, 26, 24, 27
26, 40, 184, 65, 27, 25, 23, 28
27, 37, 101, 61, 26, 24, 24, 29
22, 30, 80, 44, 25, 25, 23, 27
26, 30, 66, 48, 25, 25, 23, 43
28, 47, 54, 48, 26, 25, 24, 44
30, 52, 114, 43, 27, 25, 26, 44
28, 56, 186, 46, 27, 26, 26, 44
29, 58, 196, 51, 27, 23, 26, 45
28, 59, 199, 47, 27, 25, 30, 31
51, 45, 201, 46, 27, 31, 36, 63
53, 39, 178, 42, 26, 32, 33, 65
59, 36, 151, 41, 26, 33, 36, 66
