1, 169, 208, 417, 266, 102, 39, 46, 50
1, 197, 240, 496, 309, 87, 41, 48, 58
1, 200, 257, 426, 312, 85, 42, 50, 67
1, 204, 234, 387, 280, 70, 37, 49, 69
1, 220, 307, 393, 256, 74, 47, 56, 81
1, 217, 317, 386, 255, 73, 54, 96, 94
1, 257, 453, 313, 207, 88, 98, 176, 208
1, 303, 466, 284, 256, 143, 169, 242, 269
1, 441, 588, 307, 314, 162, 184, 271, 354
1, 599, 669, 308, 369, 197, 213, 372, 370
1, 770, 697, 340, 479, 292, 312, 561, 524
1, 885, 629, 339, 563, 359, 337, 695, 607
1, 1095, 681, 312, 548, 365, 326, 884, 790
1, 1205, 603, 287, 525, 380, 349, 894, 788
1, 1179, 555, 295, 595, 391, 377, 873, 821
1, 1105, 563, 265, 523, 342, 335, 797, 751
1, 1093, 564, 244, 467, 328, 321, 707, 686
1, 995, 589, 262, 541, 335, 323, 516, 562
1, 921, 611, 273, 556, 324, 299, 526, 571
1, 943, 593, 253, 460, 303, 252, 577, 588
1, 941, 588, 250, 468, 350, 217, 624, 582
1, 977, 650, 237, 450, 317, 212, 704, 650
1, 957, 608, 229, 387, 291, 229, 756, 639
1, 914, 598, 218, 373, 307, 230, 809, 633
1, 1000, 601, 219, 394, 317, 306, 851, 591
1, 1067, 586, 221, 390, 279, 312, 843, 681
1, 1105, 532, 218, 395, 275, 315, 910, 734
1, 1114, 526, 214, 362, 275, 285, 887, 762
1, 1121, 502, 204, 444, 297, 300, 869, 766
1, 1069, 465, 196, 436, 285, 218, 823, 794
1, 1059, 449, 191, 464, 275, 209, 905, 758
1, 950, 455, 243, 436, 273, 195, 786, 635
1, 939, 471, 249, 477, 307, 228, 756, 527
1, 934, 551, 252, 480, 294, 211, 766, 509
1, 940, 552, 263, 538, 289, 211, 764, 463
1, 888, 542, 278, 597, 318, 218, 685, 432
1, 858, 557, 250, 611, 307, 209, 745, 452
1, 799, 522, 245, 631, 278, 183, 778, 460
1, 817, 509, 244, 626, 260, 166, 796, 445
1, 799, 527, 244, 589, 285, 170, 835, 447
1, 837, 523, 220, 538, 240, 145, 858, 487
1, 908, 489, 195, 570, 251, 140, 787, 478
